,title_of_poem,0
57,dombiisyn,"Когда, пронзительнее свиста, Я слышу английский язык – Я вижу Оливера Твиста Над кипами конторских книг.  У Чарльза Диккенса спросите, Что было в Лондоне тогда: Контора Домби в старом Сити И Темзы желтая вода...  Дожди и слезы. Белокурый И нежный мальчик – Домби-сын; Веселых клэрков каламбуры Не понимает он один.  В конторе сломанные стулья, На шиллинги и пенсы счет; Как пчелы, вылетев из улья, Роятся цифры круглый год.  А грязных адвокатов жало Работает в табачной мгле – И вот, как старая мочала, Банкрот болтается в петле.  На стороне врагов законы: Ему ничем нельзя помочь! И клетчатые панталоны, Рыдая, обнимает дочь... "
58,za-gremuchuyu-doblest-gryaduwih-vekov,"За гремучую доблесть грядущих веков,          ‎За высокое племя людей, –Я лишился и чаши на пире отцов,          ‎‎И веселья, и чести своей.Мне на плечи кидается век-волкодав,          ‎‎Но не волк я по крови своей:Запихай меня лучше, как шапку, в рукав          ‎‎Жаркой шубы сибирских степей...Чтоб не видеть ни труса, ни хлипкой грязцы,          ‎‎Ни кровавых костей в колесе;Чтоб сияли всю ночь голубые песцы          ‎‎Мне в своей первобытной красе.Уведи меня в ночь, где течет Енисей          ‎‎И сосна до звезды достаёт,Потому что не волк я по крови своей          ‎‎И меня только равный убьёт. 17-18 марта 1931, конец 1935 Примечания Это стихотворение имеет также неофициальное название «Волк». "
59,umorjaropot,"У моря ропот старческой кифары... Еще жива несправедливость Рима, И воют псы, и бедные татары В глухой деревне каменного Крыма.  О, Цезарь, Цезарь, слышишь ли блеянье Овечьих стад и смутных волн движенье? Что понапрасну льешь свое сиянье, Луна,– без Рима жалкое явленье?  Не та, что ночью смотрит в Капитолий И озаряет лес столпов холодных, А деревенская луна, не боле, Луна,– возлюбленная псов голодных. "
60,kuda-mne-det-sya-v-etom-yanvare,"Куда мне деться в этом январе?Открытый город сумасбродно цепок...От замкнутых я, что ли, пьян дверей? –И хочется мычать от всех замков и скрепок.И переулков лающих чулки,И улиц перекошенных чуланы –И прячутся поспешно в уголкиИ выбегают из углов угланы...И в яму, в бородавчатую темьСкольжу к обледенелой водокачкеИ, спотыкаясь, мёртвый воздух ем,И разлетаются грачи в горячке –А я за ними ахаю, кричаВ какой-то мёрзлый деревянный короб:– Читателя! советчика! врача!На лестнице колючей разговора б!1 февраля 1937"
61,mnestalostrashno,"Мне стало страшно жизнь отжить – И с дерева, как лист, отпрянуть, И ничего не полюбить, И безымянным камнем кануть;  И в пустоте, как на кресте, Живую душу распиная, Как Моисей на высоте, Исчезнуть в облаке Синая.  И я слежу – со всем живым Меня связующие нити, И бытия узорный дым На мраморной сличаю плите;  И содроганья теплых птиц Улавливаю через сети, И с истлевающих страниц Притягиваю прах столетий. "
62,nablednogoluboj,"На бледно-голубой эмали, Какая мыслима в апреле, Березы ветви поднимали И незаметно вечерели.  Узор отточенный и мелкий, Застыла тоненькая сетка, Как на фарфоровой тарелке Рисунок, вычерченный метко,–  Когда его художник милый Выводит на стеклянной тверди, В сознании минутной силы, В забвении печальной смерти. "
63,ya-po-lesenke-pristavnoj,"Я по лесенке приставнойЛез на всклоченный сеновал,–Я дышал звезд млечных трухой,Колтуном пространства дышал.И подумал: зачем будитьУдлиненных звучаний рой,В этой вечной склоке ловитьЭолийский чудесный строй?Звезд в ковше медведицы семь.Добрых чувств на земле пять.Набухает, звенит темьИ растет и звенит опять.Распряженный огромный возПоперек вселенной торчит.Сеновала древний хаосЗащекочет, запорошит...Не своей чешуей шуршим,Против шерсти мира поем.Лиру строим, словно спешимОбрасти косматым руном.Из гнезда упавших щегловКосари приносят назад,–Из горящих вырвусь рядовИ вернусь в родной звукоряд.Чтобы розовой крови связьИ травы сухорукий звонРаспростились; одна – скрепясь,А другая – в заумный сон.1922"
64,kak-narodnaya-gromada,"Как народная громада,Прошибая землю в пот,Многоярусное стадоПропыленною армадойРовно в голову плывет: Телки с нежными бокамиИ бычки-баловники,А за ними кораблямиБуйволицы с буйволамиИ священники-быки. 12 июня 1931"
65,a-posredi-tolpy-zadumchivyj-bradatyj,"А посреди толпы, задумчивый, брадатый,Уже стоял гравер – друг меднохвойных доск,Трехъярой окисью облитых в лоск покатый,Накатом истины сияющих сквозь воск.Как будто я повис на собственных ресницахВ толпокрылатом воздухе картинТех мастеров, что насаждают в лицахПорядок зрения и многолюдства чин.Январь 1934"
66,morozhenno,"«Мороженно!» Солнце. Воздушный бисквит. Прозрачный стакан с ледяною водою. И в мир шоколада с румяной зарею, В молочные Альпы мечтанье летит.  Но, ложечкой звякнув, умильно глядеть,– И в тесной беседке, средь пыльных акаций, Принять благосклонно от булочных граций В затейливой чашечке хрупкую снедь...  Подруга шарманки, появится вдруг Бродячего ледника пестрая крышка – И с жадным вниманием смотрит мальчишка В чудесного холода полный сундук.  И боги не ведают – что он возьмет: Алмазные сливки иль вафлю с начинкой? Но быстро исчезнет под тонкой лучинкой, Сверкая на солнце, божественный лед. "
67,chertylitsaiskazheny,"Черты лица искажены Какой-то старческой улыбкой: Кто скажет, что гитане гибкой Все муки ада суждены? "
68,stihi_o_neizvestnom_soldate,"1  Этот воздух пусть будет свидетелем – Дальнобойное сердце его – И в землянках всеядный и деятельный – Океан без окна, вещество.  До чего эти звёзды изветливы: Всё им нужно глядеть – для чего? – В осужденье судьи и свидетеля, В океан без окна вещество.  Помнит дождь, неприветливый сеятель, Безымянная манна его, Как лесистые крестики метили Океан или клин боевой.  Будут люди холодные, хилые Убивать, голодать, холодать, И в своей знаменитой могиле Неизвестный положен солдат.  Научи меня, ласточка хилая, Разучившаяся летать, Как мне с этой воздушной могилою Без руля и крыла совладать,  И за Лермонтова Михаила Я отдам тебе строгий отчёт, Как сутулого учит могила И воздушная яма влечёт.   2  Шевелящимися виноградинами Угрожают нам эти миры, И висят городами украденными, Золотыми обмолвками, ябедами – Ядовитого холода ягодами – Растяжимых созвездий шатры – Золотые созвездий миры.   3  Сквозь эфир десятичноозначенный Свет размолотых в луч скоростей Начинает число опрозраченный. Светлой болью и молью нулей.  А за полем полей поле новое Треугольным летит журавлем – Весть летит светлопыльной дорогою – И от битвы вчерашней светло.  Весть летит светопыльной дорогою – Я не Лейпциг, не Ватерлоо, Я не битва народов. Я – новое, – От меня будет свету светло.  В глубине черномраморной устрицы Аусте?рлица погас огонек – Средиземная ласточка щурится, Вязнет чу?мный Египта песок.   4  Аравийское месиво, крошево, Свет размолотых в луч скоростей – И своими косыми подошвами Луч стоит на сетчатке моей. Миллионы убитых задёшево Притоптали траву в пустоте, Доброй ночи, всего им хорошего От лица земляных крепостей. Неподкупное небо окопное, Небо крупных оконных смертей, За тобой – от тебя – целокупное – Я губами несусь в темноте. За воронки, за насыпи, осыпи По которым он медлил и мглил, Развороченный – пасмурный, оспенный И приниженный гений могил.   5  Хорошо умирает пехота, И поёт хорошо хор ночной Над улыбкой приплюснутой швейка, И над птичьим копьем Дон-Кихота, И над рыцарской птичьей плюсной. И дружит с человеком калека: Им обоим найдётся работа. И стучит по околицам века Костылей деревянных семейка – Эй, товарищество – шар земной!   6  Для того ль должен череп развиться Во весь лоб – от виска до виска, – Чтоб его дорогие глазницы Не могли не вливаться в войска. Развивается череп от жизни Во весь лоб – от виска до виска, – Чистотой своих швов он дразни?т себя, Понимающим куполом яснится, Мыслью пенится, сам себе снится – Чаша чаше, отчизна – отчизне, – Звёздным рубчиком шитый чепец, Чепчик счастья – Шекспира отец.   7  Ясность ясеневая и зоркость яво?ровая Чуть-чуть красная мчится в свой дом, Словно обмороками затоваривая Оба неба с их тусклым огнем. Нам союзно лишь то, что избыточно, Впереди – не провал, а промер, И бороться за воздух прожиточный – Это слава другим не в пример.  И сознанье своё затоваривая Полуобморочным бытиём, Я ль без выбора пью это варево, Свою голову ем под огнём?  Для того ль заготовлена тара Обаянья в пространстве пустом, Чтобы белые звезды обратно Чуть-чуть красные мчались в свой дом?  Слышишь, мачеха звездного табора – Ночь, что будет сейчас и потом?   8  Наливаются кровью аорты, И звучит по рядам шепотком: – Я рождён в девяносто четвёртом, Я рождён в девяносто втором… И, в кулак зажимая истёртый Год рожденья с гурьбой и гуртом, Я шепчу обескровленным ртом: – Я рождён в ночь с второго на третье Января в девяносто одном. Ненадёжном году, и столетья Окружают меня огнём. "
69,bakhzdes,"Здесь прихожане – дети праха И доски вместо образов, Где мелом – Себастьяна Баха Лишь цифры значатся псалмов.  Разноголосица какая В трактирах буйных и церквах, А ты ликуешь, как Исайя, О, рассудительнейший Бах!  Высокий спорщик, неужели, Играя внукам свой хорал, Опору духа в самом деле Ты в доказательстве искал?  Что звук? Шестнадцатые доли, Органа многосложный крик – Лишь воркотня твоя, не боле, О, несговорчивый старик!  И лютеранский проповедник На черной кафедре своей С твоими, гневный собеседник, Мешает звук своих речей. "
70,listevsochuvstvennyj,"Листьев сочувственный шорох Угадывать сердцем привык, В темных читаю узорах Смиренного сердца язык.  Верные, четкие мысли – Прозрачная, строгая ткань... Острые листья исчисли – Словами играть перестань.  К высям просвета какого Уходит твой лиственный шум – Темное дерево слова, Ослепшее дерево дум?  Май 1910"
71,dushnyjsumrak,"Душный сумрак кроет ложе, Напряженно дышит грудь... Может, мне всего дороже Тонкий крест и тайный путь. "
72,pustimenatsvetushchikh,"Пусть имена цветущих городов Ласкают слух значительностью бренной. Не город Рим живет среди веков, А место человека во вселенной.  Им овладеть пытаются цари, Священники оправдывают войны, И без него презрения достойны, Как жалкий сор, дома и алтари. "
73,starikuzhe,"Уже светло, поет сирена В седьмом часу утра. Старик, похожий на Верлэна, Теперь твоя пора!  В глазах лукавый или детский Зеленый огонек; На шею нацепил турецкий Узорчатый платок.  Он богохульствует, бормочет Несвязные слова; Он исповедываться хочет – Но согрешить сперва.  Разочарованный рабочий Иль огорченный мот – А глаз, подбитый в недрах ночи, Как радуга цветет.  А дома – руганью крылатой, От ярости бледна, Встречает пьяного Сократа Суровая жена!  1913, 1937  * Вариант СС2: добавлена предпоследней строфа:  Так, соблюдая день субботний, Плетется он, когда Глядит из каждой подворотни"
74,kakoblakomserdtse,"Как облаком сердце одето И камнем прикинулась плоть, Пока назначенье поэта Ему не откроет Господь:  Какая-то страсть налетела, Какая-то тяжесть жива; И призраки требуют тела, И плоти причастны слова.  Как женщины, жаждут предметы, Как ласки, заветных имен. Но тайные ловит приметы Поэт, в темноту погружен.  Он ждет сокровенного знака, На песнь, как на подвиг, готов: И дышит таинственность брака В простом сочетании слов. "
75,k-pustoj-zemle-nevol-no-pripadaya-stihi-k-h-shtempel,"К пустой земле невольно припадая,Неравномерной сладкою походкойОна идет – чуть-чуть опережаяПодругу быструю и юношу-погодка.Её влечет стесненная свободаОдушевляющего недостатка,И, может статься, ясная догадкаВ её походке хочет задержаться –О том, что эта вешняя погодаДля нас – праматерь гробового свода,И это будет вечно начинаться.4 мая 1937"
76,akterirabochij,"Здесь, на твердой площадке яхт-клуба, Где высокая мачта и спасательный круг, У южного моря, под сенью юга Деревянный пахучий строился сруб!  Это игра воздвигает здесь стены! Разве работать – не значит играть? По свежим доскам широкой сцены Какая радость впервые шагать!  Актер – корабельщик на палубе мира! И дом актера стоит на волнах! Никогда, никогда не боялась лира Тяжелого молота в братских руках!  Что сказал художник, сказал и работник: – Воистину, правда у нас одна! Единым духом жив и плотник, И поэт, вкусивший святого вина!  А вам спасибо! И дни, и ночи Мы строим вместе – и наш дом готов! Под маской суровости скрывает рабочий Высокую нежность грядущих веков!  Веселые стружки пахнут морем, Корабль оснащен – в добрый путь! Плывите же вместе к грядущим зорям, Актер и рабочий, вам нельзя отдохнуть! "
77,posle-polunochi-serdce-voruet,"После полуночи сердце воруетПрямо из рук запрещённую тишь.Тихо живет – хорошо озорует,Любишь – не любишь: ни с чем не сравнишь... 5Любишь – не любишь, поймешь – не поймаешь.Не потому ль, как подкидыш, молчишь*,Что пополуночи сердце пирует,Взяв на прикус серебристую мышь? Март 1931* «молчишь» – в списке Надежды Мандельштам разночтение: «дрожишь», которое также воспроизведено в американском издании."
78,niochemnenuzhno,"Ни о чем не нужно говорить, Ничему не следует учить, И печальна так и хороша Темная звериная душа:  Ничему не хочет научить, Не умеет вовсе говорить И плывет дельфином молодым По седым пучинам мировым.  Декабрь 1909"
79,segodnya-mozhno-snyat-dekal-komani,"Сегодня можно снять декалькомани,Мизинец окунув в Москву-реку,С разбойника Кремля. Какая прелестьФисташковые эти голубятни:Хоть проса им насыпать, хоть овса...А в недорослях кто? Иван Великий –Великовозрастная колокольня –Стоит себе еще болван болваномКоторый век. Его бы за границу,Чтоб доучился... Да куда там! Стыдно! Река Москва в четырехтрубном дымеИ перед нами весь раскрытый город:Купальщики-заводы и садыЗамоскворецкие. Не так ли,Откинув палисандровую крышкуОгромного концертного рояля,Мы проникаем в звучное нутро?Белогвардейцы, вы его видали?Рояль Москвы слыхали? Гули-гули! Мне кажется, как всякое другое,Ты, время, незаконно. Как мальчишкаЗа взрослыми в морщинистую воду,Я, кажется, в грядущее вхожу,И, кажется, его я не увижу... Уж я не выйду в ногу с молодежьюНа разлинованные стадионы,Разбуженный повесткой мотоцикла,Я на рассвете не вскочу с постели,В стеклянные дворцы на курьих ножкахЯ даже тенью легкой не войду. Мне с каждым днем дышать все тяжелее,А между тем нельзя повременить...И рождены для наслажденья бегомЛишь сердце человека и коня, И Фауста бес – сухой и моложавый –Вновь старику кидается в реброИ подбивает взять почасно ялик,Или махнуть на Воробьевы горы,Иль на трамвае охлестнуть Москву. Ей некогда. Она сегодня в няньках,Все мечется. На сорок тысяч люлекОна одна – и пряжа на руках. 25 июня – август 1931"
80,dajte-tyutchevu-strekozu," Дайте Тютчеву стрекозу,* – Догадайтесь, почему!  Веневитинову – розу,  Ну, а перстень? – Никому!   Баратынского подошвы  Раздражают прах веков.  У него без всякой прошвы  Наволочки облаков.   А ещё над нами волен  Лермонтов, мучитель наш,  И всегда одышкой болен  Фета жирный карандаш.**  [А еще богохранима  На гвоздях торчит всегда  У ворот Ерусалима  Хомякова борода.]  Май 1932 * Дайте Тютчеву стрекозу... – см. стихотворение Ф. И. Тютчева В душном воздуха молчанье...** Фет в старости страдал одышкой."
81,ne-u-menya-ne-u-tebya-u-nih,"Не у меня, не у тебя – у нихВся сила окончаний родовых:Их воздухом поющ тростник и скважист,И с благодарностью улитки губ людскихПотянут на себя их дышащую тяжесть.Нет имени у них. Войди в их хрящ –И будешь ты наследником их княжеств.И для людей, для их сердец живых,Блуждая в их извилинах, развивах,Изобразишь и наслажденья их,И то, что мучит их, – в приливах и отливах.9-27 декабря 1936"
82,neumolimyeslova,"Неумолимые слова... Окаменела Иудея, И, с каждым мигом тяжелея, Его поникла голова.  Стояли воины кругом На страже стынущего тела; Как венчик, голова висела На стебле тонком и чужом.  И царствовал, и никнул Он, Как лилия в родимый омут, И глубина, где стебли тонут, Торжествовала свой закон.  Август 1910"
83,vkholodnykhperelivakh,"В холодных переливах лир Какая замирает осень! Как сладостен и как несносен Ее золотострунный клир!  Она поет в церковных хорах И в монастырских вечерах И, рассыпая в урны прах, Печатает вино в амфорах.  Как успокоенный сосуд С уже отстоенным раствором, Духовное – доступно взорам, И очертания живут.  Колосья – так недавно сжаты, Рядами ровными лежат; И пальцы тонкие дрожат, К таким же, как они, прижаты. "
84,rejmsikeln,"...Но в старом Кельне тоже есть собор, Неконченный и все-таки прекрасный, И хоть один священник беспристрастный, И в дивной целости стрельчатый бор.  Он потрясен чудовищным набатом, И в грозный час, когда густеет мгла, Немецкие поют колокола: – Что сотворили вы над реймским братом? "
85,s-rozovoj-penoj-ustalosti-u-myagkih-gub,"С розовой пеной усталости у мягких губЯростно волны зеленые роет бык,Фыркает, гребли не любит – женолюб,Ноша хребту непривычна, и труд велик.Изредка выскочит дельфина колесоДа повстречается морской колючий еж,Нежные руки Европы,– берите все!Где ты для выи желанней ярмо найдешь?Горько внимает Европа могучий плеск,Тучное море кругом закипает в ключ,Видно, страшит ее вод маслянистый блескИ соскользнуть бы хотелось с шершавых круч.О, сколько раз ей милее уключин скрип,Лоном широкая палуба, гурт овецИ за высокой кормою мелькание рыб,–С нею безвесельный дальше плывет гребец!1922"
86,kogdapokazyvajut,"Когда показывают восемь Часы собора-исполина, Мы в полусне твой призрак носим, Чужого города картина.  В руках плетеные корзинки, Служанки спорят с продавцами, Воркуют голуби на рынке И плещут сизыми крылами.  Хлеба, серебряные рыбы, Плоды и овощи простые, Крестьяне – каменные глыбы И краски темные, живые.  А в сетке пестрого тумана Сгрудилась ласковая стая, Как будто площадь утром рано – Торговли скиния святая. "
87,esli-b-menya-nashi-vragi-vzyali,"Если б меня наши враги взялиИ перестали со мной говорить люди,Если б лишили меня всего в мире:Права дышать и открывать двериИ утверждать, что бытие будетИ что народ, как судия, судит,–Если б меня смели держать зверем,Пищу мою на пол кидать стали б,–Я не смолчу, не заглушу боли,Но начерчу то, что чертить волен,И, раскачав колокол стен голыйИ разбудив вражеской тьмы угол,Я запрягу десять волов в голосИ поведу руку во тьме плугом –И в глубине сторожевой ночиЧернорабочей вспыхнут земле очи,И – в легион братских очей сжатый –Я упаду тяжестью всей жатвы,Сжатостью всей рвущейся вдаль клятвы –И налетит пламенных лет стая,Прошелестит спелой грозой Ленин,И на земле, что избежит тленья,Будет будить разум и жизнь Сталин.Февраль – начало марта 1937"
88,madrigaldoch,"Кн. Андрониковой  Дочь Андроника Комнена, Византийской славы дочь! Помоги мне в эту ночь Солнце выручить из плена, Помоги мне пышность тлена Стройной песнью превозмочь, Дочь Андроника Комнена, Византийской славы дочь! "
89,kinematograftriskamejki,"Кинематограф. Три скамейки. Сентиментальная горячка. Аристократка и богачка В сетях соперницы-злодейки.  Не удержать любви полета: Она ни в чем не виновата! Самоотверженно, как брата, Любила лейтенанта флота.  А он скитается в пустыне – Седого графа сын побочный. Так начинается лубочный Роман красавицы-графини.  И в исступленьи, как гитана, Она заламывает руки. Разлука. Бешеные звуки Затравленного фортепьяно.  В груди доверчивой и слабой Еще достаточно отваги Похитить важные бумаги Для неприятельского штаба.  И по каштановой аллее Чудовищный мотор несется, Стрекочет лента, сердце бьется Тревожнее и веселее.  В дорожном платье, с саквояжем, В автомобиле и в вагоне, Она боится лишь погони, Сухим измучена миражем.  Какая горькая нелепость: Цель не оправдывает средства! Ему – отцовское наследство, А ей – пожизненная крепость! "
90,ya_naravne_s_drugimi,"Я наравне с другими Хочу тебе служить, От ревности сухими Губами ворожить. Не  утоляет слово Мне пересохших уст, И без тебя мне снова Дремучий воздух пуст.  Я больше не ревную, Но я тебя хочу, И сам себя несу я, Как жертву палачу. Тебя не назову я Ни радость, ни любовь. На дикую, чужую Мне подменили кровь.  Еще одно мгновенье, И я скажу тебе, Не радость, а мученье Я нахожу в тебе. И, словно преступленье, Меня к тебе влечет Искусанный в смятеньи Вишневый нежный рот.  Вернись ко мне скорее, Мне страшно без тебя, Я никогда сильнее Не чувствовал тебя, И все, чего хочу я, Я вижу наяву. Я больше не ревную,"
91,ya-v-l-vinyj-rov-i-v-krepost-pogruzhyon,"Я в львиный ров и в крепость погружёнИ опускаюсь ниже, ниже, нижеПод этих звуков ливень дрожжевой –Сильнее льва, мощнее Пятикнижья.Как близко, близко твой подходит зов –До заповедей роды и первины –Океанийских низка жемчуговИ таитянок кроткие корзины...Карающего пенья материк,Густого голоса низинами надвинься!Богатых дочерей дикарско-сладкий ликНе стоит твоего – праматери – мизинца.Не ограничена ещё моя пора:И я сопровождал восторг вселенский,Как вполголосная органная играСопровождает голос женский.12 февраля 1937"
92,kakovtsyzhalkoju,"Как овцы, жалкою толпой Бежали старцы Еврипида. Иду змеиною тропой, И в сердце темная обида.  Но этот час уж недалек: Я отряхну мои печали, Как мальчик вечером песок Вытряхивает из сандалий. "
93,kancona-neuzheli-ya-uvizhu-zavtra,"Неужели я увижу завтра –Слева сердце бьётся, слава, бейся! –Вас, банкиры горного ландшафта,Вас, держатели могучих акций гнейса? Там зрачок профессорский орлиный,–Египтологи и нумизматы –Это птицы сумрачно-хохлатыеС жёстким мясом и широкою грудиной. То Зевес подкручивает с толкомЗолотыми пальцами краснодеревцаЗамечательные луковицы-стёкла –Прозорливцу дар от псалмопевца. Он глядит в бинокль прекрасный Цейса –Дорогой подарок царь-Давида, –Замечает все морщины гнейсовые,Где сосна иль деревушка-гнида. Я покину край гипербореев,Чтобы зреньем напитать судьбы развязку,Я скажу «села́» начальнику евреевЗа его малиновую ласку. Край небритых гор ещё неясен,Мелколесья колется щетина,И свежа, как вымытая басня,До оскомины зелёная долина. Я люблю военные биноклиС ростовщическою силой зренья.Две лишь краски в мире не поблекли:В жёлтой – зависть, в красной – нетерпенье. 26 мая 1931"
94,odabetkhovenu,"Бывает сердце так сурово, Что и любя его не тронь! И в темной комнате глухого Бетховена горит огонь. И я не мог твоей, мучитель, Чрезмерной радости понять. Уже бросает исполнитель Испепеленную тетрадь. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  Кто этот дивный пешеход? Он так стремительно ступает С зеленой шляпою в руке, . . . . . . . . . . . . . . . . . . . . . . . . . .  С кем можно глубже и полнее Всю чашу нежности испить, Кто может, ярче пламенея Усилье воли освятить? Кто по-крестьянски, сын фламандца, Мир пригласил на ритурнель И до тех пор не кончил танца, Пока не вышел буйный хмель?  О Дионис, как муж, наивный И благодарный, как дитя! Ты перенес свой жребий дивный То негодуя, то шутя! С каким глухим негодованьем Ты собирал с князей оброк Или с рассеянным вниманьем На фортепьянный шел урок!  Тебе монашеские кельи – Всемирной радости приют, Тебе в пророческом весельи Огнепоклонники поют; Огонь пылает в человеке, Его унять никто не мог. Тебя назвать не смели греки, Но чтили, неизвестный бог!  О величавой жертвы пламя! Полнеба охватил костер – И царской скинии над нами Разодран шелковый шатер. И в промежутке воспаленном, Где мы не видим ничего,– Ты указал в чертоге тронном На белой славы торжество! "
95,nalunenerastet,...На луне не растет Ни одной былинки; На луне весь народ Делает корзинки – Из соломы плетет Легкие корзинки.  На луне – полутьма И дома опрятней; На луне не дома – Просто голубятни; Голубые дома – Чудо-голубятни. 
96,na-menya-nacelilas-grusha-da-cheremuha,"На меня нацелилась груша да черемуха –Силою рассыпчатой бьет меня без промаха.Кисти вместе с звёздами, звёзды вместе с кистями,–Что за двоевластье там? В чьем соцветьи истина?С цвету ли, с размаха ли бьёт воздушно-целымиВ воздух убиваемый кистенями белыми.И двойного запаха сладость неуживчива:Борется и тянется – смешана, обрывчива.4 мая 1937"
97,kakzhenstvennoe,"Как женственное серебро горит, Что с окисью и примесью боролось, И тихая работа серебрит Железный плуг и песнотворца голос. "
98,nemetskajakaska,"Немецкая каска, священный трофей, Лежит на камине в гостиной твоей.  Дотронься,– она, как игрушка, легка; Пронизана воздухом медь шишака.  В Познани и Польше не всем воевать – Своими глазами врага увидать:  И, слушая ядер губительный хор, Сорвать с неприятеля гордый убор!  Нам только взглянуть на блестящую медь И вспомнить о тех, кто готов умереть! "
99,ne-muchnistoj-babochkoyu-beloj,"Не мучнистой бабочкою белойВ землю я заемный прах верну –Я хочу, чтоб мыслящее телоПревратилось в улицу, в страну;Позвоночное, обугленное тело,Сознающее свою длину.Возгласы темно-зеленой хвои,С глубиной колодезной венкиТянут жизнь и время дорогое,Опершись на смертные станки –Обручи краснознаменной хвои,Азбучные, крупные венки!Шли товарищи последнего призываПо работе в жёстких небесах,Пронесла пехота молчаливоВосклицанья ружей на плечах.И зенитных тысячи орудий –Карих то зрачков иль голубых –Шли нестройно – люди, люди, люди, –Кто же будет продолжать за них?Весна-лето 1935, 30 мая 1936"
100,zabludilsya-ya-v-nebe-chto-delat-2,"Заблудился я в небе – что делать?Тот, кому оно близко, – ответь!Легче было вам, Дантовых девятьАтлетических дисков, звенеть,Задыхаться, чернеть, голубеть.Если я не вчерашний, не зряшний, –Ты, который стоишь надо мной,Если ты виночерпий и чашник –Дай мне силу без пены пустойВыпить здравье кружащейся башни –Рукопашной лазури шальной.Голубятни, черноты, скворешни,Самых синих теней образцы, –Лёд весенний, лёд вышний, лёд вешний –Облака, обаянья борцы, –Тише: тучу ведут под уздцы.9-19 марта 1937"
101,inpressionizm,"Художник нам изобразил Глубокий обморок сирени И красок звучные ступени На холст как струпья положил.  Он понял масла густоту, – Его запекшееся лето Лиловым мозгом разогрето, Расширенное в духоту.  А тень-то, тень все лиловей, Свисток иль хлыст как спичка тухнет. Ты скажешь: поварa на кухне Готовят жирных голубей.  Угадывается качель, Недомалеваны вуали, И в этом сумрачном развале"
